frame_id,positions,sizes,bounding_boxes,colors,distances,relationships
11,"{'Player': (140, 77), 'Ball': (68, 125), 'Enemy': (16, 125)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 77, 4, 15), 'Ball': (68, 125, 2, 4), 'Enemy': (16, 125, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 86.53323061113575, 'Player_Enemy': 132.9661611087573, 'Ball_Enemy': 52.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
12,"{'Player': (140, 69), 'Ball': (67, 126), 'Enemy': (16, 125)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 69, 4, 15), 'Ball': (67, 126, 2, 4), 'Enemy': (16, 125, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 92.61749294814668, 'Player_Enemy': 136.0588108135596, 'Ball_Enemy': 51.0098029794274}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
13,"{'Player': (140, 69), 'Ball': (66, 127), 'Enemy': (16, 127)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 69, 4, 15), 'Ball': (66, 127, 2, 4), 'Enemy': (16, 127, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 94.02127418834527, 'Player_Enemy': 136.8941196691808, 'Ball_Enemy': 50.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
14,"{'Player': (140, 60), 'Ball': (65, 128), 'Enemy': (16, 127)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 60, 4, 15), 'Ball': (65, 128, 2, 4), 'Enemy': (16, 127, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 101.23734488813898, 'Player_Enemy': 140.9432509913121, 'Ball_Enemy': 49.01020301937138}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
15,"{'Player': (140, 60), 'Ball': (64, 129), 'Enemy': (16, 129)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 60, 4, 15), 'Ball': (64, 129, 2, 4), 'Enemy': (16, 129, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 102.6498904042279, 'Player_Enemy': 141.90489773083945, 'Ball_Enemy': 48.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
16,"{'Player': (140, 49), 'Ball': (63, 130), 'Enemy': (16, 129)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 49, 4, 15), 'Ball': (63, 130, 2, 4), 'Enemy': (16, 129, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 111.75866856758807, 'Player_Enemy': 147.56693396557372, 'Ball_Enemy': 47.01063709417264}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
17,"{'Player': (140, 49), 'Ball': (62, 131), 'Enemy': (16, 131)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 49, 4, 15), 'Ball': (62, 131, 2, 4), 'Enemy': (16, 131, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 113.17243480636087, 'Player_Enemy': 148.66068747318505, 'Ball_Enemy': 46.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
18,"{'Player': (140, 44), 'Ball': (61, 132), 'Enemy': (16, 131)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 44, 4, 15), 'Ball': (61, 132, 2, 4), 'Enemy': (16, 131, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 118.25819210524064, 'Player_Enemy': 151.47607071745688, 'Ball_Enemy': 45.0111097397076}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
19,"{'Player': (140, 44), 'Ball': (60, 133), 'Enemy': (16, 133)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 44, 4, 15), 'Ball': (60, 133, 2, 4), 'Enemy': (16, 133, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 119.6703806294607, 'Player_Enemy': 152.63354808167173, 'Ball_Enemy': 44.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
20,"{'Player': (140, 47), 'Ball': (59, 134), 'Enemy': (16, 133)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 47, 4, 15), 'Ball': (59, 134, 2, 4), 'Enemy': (16, 133, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 118.86967653695369, 'Player_Enemy': 150.90394295710104, 'Ball_Enemy': 43.01162633521314}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
21,"{'Player': (140, 47), 'Ball': (58, 135), 'Enemy': (16, 135)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 47, 4, 15), 'Ball': (58, 135, 2, 4), 'Enemy': (16, 135, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 120.28299963003916, 'Player_Enemy': 152.0526224699857, 'Ball_Enemy': 42.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
22,"{'Player': (140, 49), 'Ball': (57, 136), 'Enemy': (16, 135)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 49, 4, 15), 'Ball': (57, 136, 2, 4), 'Enemy': (16, 135, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 120.24142381059865, 'Player_Enemy': 150.90394295710104, 'Ball_Enemy': 41.012193308819754}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
23,"{'Player': (140, 49), 'Ball': (56, 137), 'Enemy': (16, 137)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 49, 4, 15), 'Ball': (56, 137, 2, 4), 'Enemy': (16, 137, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 121.6552506059644, 'Player_Enemy': 152.0526224699857, 'Ball_Enemy': 40.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
24,"{'Player': (140, 52), 'Ball': (55, 138), 'Enemy': (16, 137)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 52, 4, 15), 'Ball': (55, 138, 2, 4), 'Enemy': (16, 137, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 120.91732712891069, 'Player_Enemy': 150.3362896974646, 'Ball_Enemy': 39.01281840626232}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
25,"{'Player': (140, 52), 'Ball': (54, 139), 'Enemy': (16, 139)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 52, 4, 15), 'Ball': (54, 139, 2, 4), 'Enemy': (16, 139, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 122.3315167894194, 'Player_Enemy': 151.47607071745688, 'Ball_Enemy': 38.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
26,"{'Player': (140, 51), 'Ball': (53, 140), 'Enemy': (16, 139)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 51, 4, 15), 'Ball': (53, 140, 2, 4), 'Enemy': (16, 139, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 124.45882853377658, 'Player_Enemy': 152.0526224699857, 'Ball_Enemy': 37.013511046643494}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
27,"{'Player': (140, 51), 'Ball': (52, 141), 'Enemy': (16, 141)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 51, 4, 15), 'Ball': (52, 141, 2, 4), 'Enemy': (16, 141, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 125.8729518204765, 'Player_Enemy': 153.21879780235844, 'Ball_Enemy': 36.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
28,"{'Player': (140, 56), 'Ball': (51, 142), 'Enemy': (16, 141)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 56, 4, 15), 'Ball': (51, 142, 2, 4), 'Enemy': (16, 141, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 123.76186811776881, 'Player_Enemy': 150.3362896974646, 'Ball_Enemy': 35.014282800023196}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
29,"{'Player': (140, 56), 'Ball': (50, 143), 'Enemy': (16, 143)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 56, 4, 15), 'Ball': (50, 143, 2, 4), 'Enemy': (16, 143, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 125.1758762701504, 'Player_Enemy': 151.47607071745688, 'Ball_Enemy': 34.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
30,"{'Player': (140, 64), 'Ball': (49, 144), 'Enemy': (16, 143)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 64, 4, 15), 'Ball': (49, 144, 2, 4), 'Enemy': (16, 143, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 121.16517651536682, 'Player_Enemy': 147.02720836634285, 'Ball_Enemy': 33.015148038438355}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
31,"{'Player': (140, 64), 'Ball': (48, 145), 'Enemy': (16, 145)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 64, 4, 15), 'Ball': (48, 145, 2, 4), 'Enemy': (16, 145, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 122.57650672131263, 'Player_Enemy': 148.11144452742334, 'Ball_Enemy': 32.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
32,"{'Player': (140, 65), 'Ball': (47, 146), 'Enemy': (16, 145)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 65, 4, 15), 'Ball': (47, 146, 2, 4), 'Enemy': (16, 145, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 123.3288287465668, 'Player_Enemy': 147.56693396557372, 'Ball_Enemy': 31.016124838541646}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
33,"{'Player': (140, 65), 'Ball': (46, 147), 'Enemy': (16, 147)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 65, 4, 15), 'Ball': (46, 147, 2, 4), 'Enemy': (16, 147, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 124.73972903610141, 'Player_Enemy': 148.66068747318505, 'Ball_Enemy': 30.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
34,"{'Player': (140, 66), 'Ball': (45, 148), 'Enemy': (16, 147)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 66, 4, 15), 'Ball': (45, 148, 2, 4), 'Enemy': (16, 147, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 125.49501982150527, 'Player_Enemy': 148.11144452742334, 'Ball_Enemy': 29.017236257093817}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
35,"{'Player': (140, 66), 'Ball': (44, 149), 'Enemy': (16, 149)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 66, 4, 15), 'Ball': (44, 149, 2, 4), 'Enemy': (16, 149, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 126.90547663517127, 'Player_Enemy': 149.21461054467824, 'Ball_Enemy': 28.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
36,"{'Player': (140, 63), 'Ball': (43, 150), 'Enemy': (16, 149)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 63, 4, 15), 'Ball': (43, 150, 2, 4), 'Enemy': (16, 149, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 130.29965464267354, 'Player_Enemy': 150.90394295710104, 'Ball_Enemy': 27.018512172212592}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
37,"{'Player': (140, 63), 'Ball': (42, 151), 'Enemy': (16, 151)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 63, 4, 15), 'Ball': (42, 151, 2, 4), 'Enemy': (16, 151, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 131.71180660821565, 'Player_Enemy': 152.0526224699857, 'Ball_Enemy': 26.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
38,"{'Player': (140, 62), 'Ball': (41, 152), 'Enemy': (16, 151)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 62, 4, 15), 'Ball': (41, 152, 2, 4), 'Enemy': (16, 151, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 133.79461872586654, 'Player_Enemy': 152.63354808167173, 'Ball_Enemy': 25.019992006393608}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
39,"{'Player': (140, 62), 'Ball': (40, 153), 'Enemy': (16, 153)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 62, 4, 15), 'Ball': (40, 153, 2, 4), 'Enemy': (16, 153, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 135.20724832641184, 'Player_Enemy': 153.8083222715858, 'Ball_Enemy': 24.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
40,"{'Player': (140, 64), 'Ball': (39, 154), 'Enemy': (16, 153)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 64, 4, 15), 'Ball': (39, 154, 2, 4), 'Enemy': (16, 153, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 135.28118864054971, 'Player_Enemy': 152.63354808167173, 'Ball_Enemy': 23.021728866442675}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
41,"{'Player': (140, 64), 'Ball': (38, 155), 'Enemy': (16, 155)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 64, 4, 15), 'Ball': (38, 155, 2, 4), 'Enemy': (16, 155, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 136.69308687713507, 'Player_Enemy': 153.8083222715858, 'Ball_Enemy': 22.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
42,"{'Player': (140, 65), 'Ball': (37, 156), 'Enemy': (16, 155)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 65, 4, 15), 'Ball': (37, 156, 2, 4), 'Enemy': (16, 155, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 137.44089638822936, 'Player_Enemy': 153.21879780235844, 'Ball_Enemy': 21.02379604162864}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
43,"{'Player': (140, 65), 'Ball': (36, 157), 'Enemy': (16, 157)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 65, 4, 15), 'Ball': (36, 157, 2, 4), 'Enemy': (16, 157, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 138.85243966167826, 'Player_Enemy': 154.40207252495026, 'Ball_Enemy': 20.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
44,"{'Player': (140, 66), 'Ball': (35, 158), 'Enemy': (16, 157)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 66, 4, 15), 'Ball': (35, 158, 2, 4), 'Enemy': (16, 157, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 139.6030085635693, 'Player_Enemy': 153.8083222715858, 'Ball_Enemy': 19.026297590440446}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
45,"{'Player': (140, 66), 'Ball': (34, 159), 'Enemy': (16, 159)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 66, 4, 15), 'Ball': (34, 159, 2, 4), 'Enemy': (16, 159, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 141.01418368376991, 'Player_Enemy': 155.0, 'Ball_Enemy': 18.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
46,"{'Player': (140, 69), 'Ball': (33, 160), 'Enemy': (16, 159)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 69, 4, 15), 'Ball': (33, 160, 2, 4), 'Enemy': (16, 159, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 140.46351839534705, 'Player_Enemy': 153.21879780235844, 'Ball_Enemy': 17.029386365926403}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
47,"{'Player': (140, 69), 'Ball': (32, 161), 'Enemy': (16, 161)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 69, 4, 15), 'Ball': (32, 161, 2, 4), 'Enemy': (16, 161, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 141.8731828077456, 'Player_Enemy': 154.40207252495026, 'Ball_Enemy': 16.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
48,"{'Player': (140, 65), 'Ball': (31, 162), 'Enemy': (16, 161)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 65, 4, 15), 'Ball': (31, 162, 2, 4), 'Enemy': (16, 161, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 145.91093173576817, 'Player_Enemy': 156.81836627130127, 'Ball_Enemy': 15.033296378372908}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
49,"{'Player': (140, 65), 'Ball': (30, 163), 'Enemy': (16, 163)}","{'Player': (4, 15), 'Ball': (2, 4), 'Enemy': (4, 15)}","{'Player': (140, 65, 4, 15), 'Ball': (30, 163, 2, 4), 'Enemy': (16, 163, 4, 15)}","{'Player': (92, 186, 92), 'Ball': (236, 236, 236), 'Enemy': (213, 130, 74)}","{'Player_Ball': 147.32277488562318, 'Player_Enemy': 158.05062480104277, 'Ball_Enemy': 14.0}","{'Player_Ball': 'above', 'Player_Enemy': 'above', 'Ball_Enemy': 'right of'}"
